,sample,collect_date,sample_type,sample_condition,sample_condition_abbrv,analyte,lab_name,result
262,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Iron,"SGS North America, Anchorage, Alaska",NA
263,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Lead,"SGS North America, Anchorage, Alaska",NA
264,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Manganese,"SGS North America, Anchorage, Alaska",8.34
265,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Molybdenum,"SGS North America, Anchorage, Alaska",NA
266,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Nickel,"SGS North America, Anchorage, Alaska",NA
267,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Phosphorus,"SGS North America, Anchorage, Alaska",NA
268,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Potassium,"SGS North America, Anchorage, Alaska",21200
269,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Selenium,"SGS North America, Anchorage, Alaska",NA
270,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Silicon,"SGS North America, Anchorage, Alaska",1540
271,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Silver,"SGS North America, Anchorage, Alaska",NA
272,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Thallium,"SGS North America, Anchorage, Alaska",NA
273,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Tin,"SGS North America, Anchorage, Alaska",NA
274,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Titanium,"SGS North America, Anchorage, Alaska",NA
275,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Vanadium,"SGS North America, Anchorage, Alaska",NA
276,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Zinc,"SGS North America, Anchorage, Alaska",NA
277,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Calcium,"SGS North America, Anchorage, Alaska",39100
278,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Magnesium,"SGS North America, Anchorage, Alaska",68600
279,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Sodium,"SGS North America, Anchorage, Alaska",595000
774,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Fecal Coliform,"Taurianen Engineering and Testing, Soldotna, Alaska",53
682,RM_1.5_Kenai_City_Dock,7/27/2021,SMPL,NA,NA,"Calcium, Total","ALS Environmental, Kelso, Washington",33.7
683,RM_1.5_Kenai_City_Dock,7/27/2021,SMPL,NA,NA,"Iron, Total","ALS Environmental, Kelso, Washington",3.24
